donation_id,donor_id,project_id,donation_date,amount,payment_method,status,donation_comment
1,93,53,2021-08-01 23:37:30,2812277,CASH,RECEIVED,For clean water initiative
2,506,10,2020-02-27 03:58:55,1510550,CARD,REFUNDED,Annual contribution
3,179,241,2020-12-18 23:53:37,2470218,CASH,RECEIVED,For emergency relief
4,455,213,2024-09-12 08:22:57,1319798,CASH,REFUNDED,Annual contribution
5,1055,40,2020-05-20 14:08:07,1505283,CARD,REFUNDED,In honor of International Day
6,931,184,2024-10-06 20:48:24,106316,CASH,RECEIVED,Supporting community development
7,1053,118,2021-12-18 23:39:52,2437723,BANK_TRANSFER,RECEIVED,For the children's program
8,92,113,2023-04-19 23:35:15,157526,CASH,PENDING,Corporate social responsibility
9,312,58,2024-12-09 04:48:27,869450,CARD,REFUNDED,Supporting community development
10,613,11,2024-10-24 18:15:47,2752523,CARD,RECEIVED,In support of your excellent work
11,984,122,2021-07-18 13:42:50,2468560,CASH,REFUNDED,In memory of a loved one
12,1115,203,2021-01-01 09:03:31,1852724,CASH,PENDING,In support of your excellent work
13,1024,253,2024-12-08 17:58:32,1392854,BANK_TRANSFER,REFUNDED,Annual contribution
14,601,121,2024-07-01 09:16:17,791067,CARD,RECEIVED,Matching donation program
15,299,179,2022-07-16 14:37:14,1366278,CASH,REFUNDED,In support of your excellent work
16,145,223,2023-07-01 04:20:55,191966,CASH,REFUNDED,Tax-deductible contribution
17,1022,50,2023-12-25 22:01:14,735438,CASH,REFUNDED,Tax-deductible contribution
18,391,38,2022-06-12 12:17:25,1140354,CARD,REFUNDED,For healthcare services
19,870,154,2021-01-24 22:31:34,1533869,BANK_TRANSFER,PENDING,Youth programs support
20,387,29,2022-11-08 10:47:17,342206,CARD,RECEIVED,Regular monthly donation
21,273,3,2020-01-14 21:40:11,546304,CARD,RECEIVED,Environmental conservation
22,12,57,2020-04-23 01:26:50,932663,BANK_TRANSFER,REFUNDED,Annual contribution
23,1101,40,2021-04-06 01:00:15,1092705,BANK_TRANSFER,REFUNDED,In support of your excellent work
24,1140,241,2024-07-25 15:13:22,2842801,CASH,REFUNDED,For healthcare services
25,862,199,2022-12-17 20:26:10,289099,CARD,REFUNDED,Corporate social responsibility
26,891,16,2021-12-03 14:10:57,288213,CARD,RECEIVED,Tax-deductible contribution
27,328,34,2023-12-18 09:55:09,2406452,BANK_TRANSFER,REFUNDED,Honored to contribute
28,988,199,2024-12-06 18:54:18,2531061,CASH,RECEIVED,Quarterly donation
29,299,291,2020-02-03 18:20:36,2856153,CASH,REFUNDED,Supporting community development
30,1072,49,2021-01-18 05:39:48,1558635,CARD,REFUNDED,Matching donation program
31,441,11,2022-03-04 14:42:15,1653133,CASH,PENDING,In memory of a loved one
32,287,54,2021-09-25 20:20:42,1633822,BANK_TRANSFER,PENDING,For the children's program
33,319,137,2022-04-21 12:01:34,317113,CASH,PENDING,Environmental conservation
34,371,3,2024-08-05 11:31:48,2718082,BANK_TRANSFER,PENDING,Youth programs support
35,201,108,2024-12-22 09:13:52,1737612,CASH,REFUNDED,Quarterly donation
36,318,235,2020-12-19 14:16:05,2370453,BANK_TRANSFER,REFUNDED,Honored to contribute
37,449,251,2023-01-07 18:52:14,903579,BANK_TRANSFER,PENDING,For the children's program
38,530,174,2022-05-18 09:58:50,2481587,BANK_TRANSFER,RECEIVED,In memory of a loved one
39,1170,272,2020-06-28 01:20:24,125097,BANK_TRANSFER,PENDING,In honor of International Day
40,432,112,2024-04-16 08:46:54,2192616,BANK_TRANSFER,REFUNDED,In honor of International Day
41,650,4,2024-04-13 11:09:11,1955063,CARD,PENDING,For the children's program
42,555,160,2024-10-26 21:36:46,894397,BANK_TRANSFER,PENDING,Environmental conservation
43,209,150,2024-01-27 18:32:45,2268185,CARD,PENDING,For healthcare services
44,756,274,2022-10-22 18:02:52,2526624,BANK_TRANSFER,RECEIVED,Tax-deductible contribution
45,1000,52,2022-10-11 00:12:31,2955885,BANK_TRANSFER,RECEIVED,Happy to support
46,98,11,2020-10-27 10:32:03,680654,CARD,REFUNDED,Happy to support
47,889,261,2023-12-14 19:22:35,2813976,CARD,REFUNDED,For the children's program
48,328,83,2024-12-01 21:31:35,1178126,BANK_TRANSFER,RECEIVED,Supporting community development
49,879,182,2021-05-26 20:01:47,2581650,BANK_TRANSFER,RECEIVED,In honor of International Day
50,1030,151,2021-10-17 09:16:26,1211105,CASH,RECEIVED,Environmental conservation
51,738,279,2022-10-20 05:38:51,2496340,BANK_TRANSFER,RECEIVED,Tax-deductible contribution
52,582,190,2022-01-19 00:29:34,968098,CASH,RECEIVED,Matching donation program
53,444,50,2024-09-19 10:04:53,1181940,CARD,RECEIVED,Matching donation program
54,1050,281,2021-09-09 01:44:30,472834,CARD,REFUNDED,Honored to contribute
55,705,287,2023-12-19 16:01:29,986984,CARD,REFUNDED,Regular monthly donation
56,730,287,2022-09-25 15:44:40,2773476,BANK_TRANSFER,PENDING,For emergency relief
57,1000,216,2020-07-26 02:55:23,616350,CARD,REFUNDED,For healthcare services
58,397,33,2022-01-05 03:27:36,2684495,BANK_TRANSFER,REFUNDED,In honor of International Day
