donor_id,name,donor_type,phone,email,address
1,Bibigul Suleimenov,INDIVIDUAL,+7 (760) 278-54-81,bibigul.suleimenov439@yahoo.com,"173 Abai Avenue, Semey, Kazakhstan"
2,Saule Nurgaliyev,INDIVIDUAL,+7 (722) 917-92-33,saule.nurgaliyev225@yahoo.com,"152 Dostyk Avenue, Oskemen, Kazakhstan"
3,Marlen Magzumov,INDIVIDUAL,+7 (721) 795-45-61,marlen.magzumov94@gmail.com,"156 Kabanbai Batyr Avenue, Semey, Kazakhstan"
4,Ruslan Dauletov,INDIVIDUAL,+7 (762) 836-59-58,ruslan.dauletov582@yandex.kz,"67 Zhibek Zholy, Karaganda, Kazakhstan"
5,Sultan Kairatov,INDIVIDUAL,+7 (772) 936-78-84,sultan.kairatov320@mail.ru,"28 Furmanov Street, Taraz, Kazakhstan"
6,Bakhyt Mambetalin,INDIVIDUAL,+7 (758) 365-53-80,bakhyt.mambetalin509@gmail.com,"116 Tole Bi Street, Semey, Kazakhstan"
7,Serik Baimukhanov,INDIVIDUAL,+7 (717) 190-77-39,serik.baimukhanov499@outlook.com,"192 Masanchi Street, Aktau, Kazakhstan"
8,Asel Esenov,INDIVIDUAL,+7 (735) 742-44-76,asel.esenov512@outlook.com,"76 Rozybakiev Street, Kyzylorda, Kazakhstan"
9,Marat Zhakenov,INDIVIDUAL,+7 (752) 360-62-91,marat.zhakenov747@outlook.com,"74 Nazarbayev Street, Kostanay, Kazakhstan"
10,Aigul Ismailov,INDIVIDUAL,+7 (734) 407-10-23,aigul.ismailov121@yahoo.com,"94 Nazarbayev Street, Kostanay, Kazakhstan"
11,Arman Kadyrov,INDIVIDUAL,+7 (760) 701-22-91,arman.kadyrov712@outlook.com,"48 Rozybakiev Street, Semey, Kazakhstan"
12,Asel Esenov,INDIVIDUAL,+7 (784) 277-68-66,asel.esenov222@yahoo.com,"181 Zhibek Zholy, Taraz, Kazakhstan"
13,Alibek Zhumabekov,INDIVIDUAL,+7 (713) 681-57-39,alibek.zhumabekov571@yandex.kz,"48 Furmanov Street, Semey, Kazakhstan"
14,Arman Nurpeisov,INDIVIDUAL,+7 (745) 924-32-48,arman.nurpeisov600@yahoo.com,"154 Zhibek Zholy, Almaty, Kazakhstan"
15,Marat Dauletov,INDIVIDUAL,+7 (798) 600-35-57,marat.dauletov551@yandex.kz,"113 Furmanov Street, Pavlodar, Kazakhstan"
16,Oksana Dauletov,INDIVIDUAL,+7 (766) 224-30-35,oksana.dauletov345@outlook.com,"111 Abai Avenue, Oskemen, Kazakhstan"
17,Kamila Magzumov,INDIVIDUAL,+7 (787) 525-98-74,kamila.magzumov490@outlook.com,"14 Abai Avenue, Karaganda, Kazakhstan"
18,Bolat Zhakenov,INDIVIDUAL,+7 (798) 274-15-82,bolat.zhakenov51@yandex.kz,"122 Kabanbai Batyr Avenue, Kostanay, Kazakhstan"
19,Medet Tolegenov,INDIVIDUAL,+7 (754) 397-21-34,medet.tolegenov883@outlook.com,"194 Zhibek Zholy, Taraz, Kazakhstan"
