expense_id,project_id,staff_id,amount,expense_date,category,description
1,144,331,1680844,2024-07-10,Food,Participant snacks
2,82,48,1778957,2021-08-12,Equipment,Photography equipment
3,3,310,784357,2022-09-02,Supplies,Event supplies
4,224,299,1042389,2023-10-20,Food,Meeting refreshments
5,254,45,199570,2022-06-02,Equipment,Office furniture
6,22,57,1024256,2023-08-20,Supplies,Educational supplies
7,38,51,735509,2021-02-24,Supplies,Office supplies
8,171,103,131764,2024-01-13,Transport,Vehicle maintenance
9,117,257,1064464,2024-09-04,Transport,Volunteer transportation
10,167,100,464901,2022-11-01,Printing,Information booklet
11,80,148,879501,2024-07-08,Transport,Vehicle fuel costs
12,55,5,1852405,2020-07-25,Transport,Public transport for beneficiaries
13,196,306,1199550,2024-03-03,Transport,Logistics and shipping
14,14,46,1764212,2024-11-02,Transport,Logistics and shipping
15,40,134,862994,2022-11-13,Equipment,Communication devices
16,22,209,486727,2020-03-14,Food,Catering for event
17,168,286,184371,2023-01-18,Printing,Brochure printing
18,99,379,624573,2020-03-14,Printing,Certificate printing
19,261,237,578436,2023-02-08,Equipment,Communication devices
20,205,330,604711,2021-03-01,Transport,Public transport for beneficiaries
21,54,364,1198592,2020-06-12,Food,Meal provisions for volunteers
22,250,224,709465,2024-09-13,Food,Nutrition program purchases
23,219,166,1175118,2021-04-08,Transport,Field visit transportation
24,130,212,1834751,2022-04-11,Food,Nutrition program purchases
25,192,126,988584,2022-07-16,Equipment,Laboratory equipment
26,215,392,1185224,2020-06-10,Food,Meeting refreshments
27,109,224,797199,2024-10-01,Supplies,Cleaning supplies
28,114,273,1233625,2022-02-10,Supplies,First aid kit
29,41,275,488588,2020-03-23,Transport,Staff travel expenses
30,185,327,1942156,2023-09-12,Transport,Vehicle fuel costs
31,172,198,381053,2023-05-24,Supplies,First aid kit
32,193,399,1799005,2020-09-19,Equipment,Safety equipment
33,268,43,1144025,2021-10-06,Equipment,Medical equipment
34,43,45,1718683,2023-04-18,Equipment,Communication devices
35,293,323,1936580,2021-11-11,Equipment,Office furniture
36,88,227,1781814,2024-09-28,Printing,Banner production
37,256,321,1167464,2023-05-24,Transport,Staff travel expenses
38,135,21,692750,2023-07-09,Equipment,Office furniture
39,122,9,330118,2021-01-24,Food,Meal provisions for volunteers
40,255,306,253509,2021-05-12,Supplies,Program supplies
41,78,132,765477,2022-03-25,Printing,Educational materials
42,283,131,498853,2020-04-04,Printing,Newsletter printing
43,192,77,1346292,2020-01-20,Printing,Brochure printing
44,111,62,220767,2023-06-21,Transport,Vehicle fuel costs
45,74,221,484752,2020-11-05,Food,Nutrition program purchases
46,204,10,1434137,2023-06-09,Transport,Transportation for outreach
47,12,296,143829,2022-03-04,Food,Catering for event
48,97,306,852943,2024-03-28,Equipment,Communication devices
49,227,263,1166474,2021-11-18,Supplies,Office supplies
50,275,177,1198935,2021-02-27,Transport,Transportation for outreach
51,162,322,431253,2022-11-02,Printing,Educational materials
52,297,361,154676,2024-05-11,Equipment,Communication devices
53,260,274,229561,2021-02-28,Food,Participant snacks
54,172,70,912639,2023-09-23,Equipment,Safety equipment
55,276,248,1374817,2023-11-02,Printing,Educational materials
56,260,34,1716696,2024-05-24,Printing,Information booklet
57,126,375,1344794,2024-06-15,Supplies,First aid kit
58,40,186,747786,2023-09-19,Food,Meeting refreshments
59,171,297,1007989,2024-07-28,Printing,Educational materials
60,60,154,458281,2024-01-12,Printing,Brochure printing
61,148,191,1272454,2020-08-26,Printing,Forms and documentation
62,205,204,1734746,2024-02-18,Printing,Brochure printing
63,21,52,1097993,2024-09-19,Transport,Equipment delivery
64,66,146,1529283,2023-12-14,Supplies,Medical supplies
65,144,291,619047,2021-04-14,Printing,Certificate printing
66,83,247,1316338,2021-10-20,Printing,Brochure printing
67,178,20,91551,2023-03-05,Equipment,Communication devices
68,118,248,893642,2022-03-11,Equipment,Tools and machinery
69,266,209,727331,2024-09-04,Equipment,Computer equipment
70,216,371,1529700,2022-08-28,Supplies,Packaging materials
71,135,177,861633,2024-05-13,Food,Event dinner costs
72,14,277,666405,2020-09-10,Printing,Banner production
73,131,270,1693128,2024-03-20,Transport,Vehicle fuel costs
74,61,396,146208,2022-12-20,Food,Food distribution supplies
75,297,199,685841,2021-07-24,Supplies,Workshop materials
76,220,360,1223900,2023-04-13,Supplies,Workshop materials
77,231,260,539577,2024-04-21,Food,Participant snacks
78,198,8,1243811,2022-11-04,Transport,Logistics and shipping
79,212,6,298797,2022-10-20,Printing,Training material duplication
80,281,226,1096509,2021-11-28,Supplies,Cleaning supplies
81,213,97,338858,2022-04-11,Printing,Awareness campaign materials
82,119,388,1604103,2023-12-08,Supplies,Program supplies
83,176,384,723218,2023-03-20,Printing,Brochure printing
84,101,324,1144662,2024-10-16,Printing,Awareness campaign materials
85,20,114,1474501,2021-06-08,Supplies,Medical supplies
86,238,117,1570644,2024-10-16,Printing,Educational materials
87,172,211,1625475,2020-08-08,Food,Meal provisions for volunteers
88,286,103,1769366,2020-09-25,Transport,Vehicle maintenance
89,275,173,1919739,2022-11-21,Food,Event dinner costs
90,74,358,816722,2022-09-27,Printing,Forms and documentation
91,282,188,631692,2023-01-11,Transport,Staff per diem
92,98,67,1233762,2023-08-19,Transport,Vehicle maintenance
93,251,196,1105704,2020-05-12,Transport,Public transport for beneficiaries
94,176,92,1536840,2022-02-15,Supplies,Registration materials
95,71,263,428129,2023-12-16,Food,Meeting refreshments
96,116,172,25674,2022-01-18,Equipment,Computer equipment
97,146,354,433505,2022-06-22,Printing,Report printing
98,281,300,555156,2024-09-23,Food,Refreshments for workshop
99,65,313,673082,2022-06-24,Food,Meal provisions for volunteers
100,34,4,1436642,2020-03-04,Equipment,Safety equipment
101,202,305,255202,2020-06-23,Equipment,Sports equipment
102,233,273,726716,2020-08-28,Supplies,Cleaning supplies
103,210,146,981290,2023-08-08,Supplies,Medical supplies
104,151,301,234482,2023-11-19,Food,Participant snacks
105,233,291,1454399,2024-04-01,Equipment,Computer equipment
106,218,369,302977,2021-09-17,Transport,Public transport for beneficiaries
107,114,243,1090418,2024-07-21,Transport,Public transport for beneficiaries
108,16,184,13474,2024-08-08,Transport,Staff per diem
109,298,169,258844,2022-09-09,Printing,Certificate printing
110,30,115,912475,2023-05-08,Transport,Transportation for outreach
111,272,345,502800,2022-04-02,Food,Refreshments for workshop
112,257,286,260295,2021-08-18,Printing,Brochure printing
113,124,81,389148,2024-03-01,Printing,Awareness campaign materials
114,53,240,1393807,2023-02-11,Food,Nutrition program purchases
115,196,69,1982979,2022-07-17,Equipment,Communication devices
116,34,3,86100,2022-08-11,Transport,Public transport for beneficiaries
117,72,254,1907866,2020-09-23,Equipment,Office furniture
118,12,91,758185,2022-12-10,Supplies,First aid kit
119,144,277,1671661,2024-08-13,Food,Food distribution supplies
120,205,110,280693,2023-05-10,Equipment,AV equipment rental
121,197,303,647911,2023-12-06,Food,Refreshments for workshop
122,53,150,626645,2020-09-03,Printing,Educational materials
123,224,56,253897,2024-03-26,Transport,Vehicle maintenance
124,213,173,1273671,2022-05-12,Printing,Certificate printing
125,53,66,515187,2021-01-18,Supplies,Medical supplies
126,246,285,1173394,2020-11-15,Food,Event dinner costs
127,72,213,666224,2024-03-12,Transport,Public transport for beneficiaries
128,160,88,1977232,2020-09-04,Supplies,Packaging materials
129,140,126,1458144,2024-09-11,Equipment,Communication devices
130,170,346,862352,2023-06-25,Printing,Training material duplication
131,300,88,1106082,2021-02-17,Supplies,First aid kit
132,162,400,1883822,2021-04-09,Supplies,Packaging materials
133,182,186,1665880,2020-12-26,Transport,Staff per diem
134,224,87,994051,2023-01-24,Transport,Volunteer transportation
135,130,349,1165483,2021-04-08,Supplies,Registration materials
136,192,91,1125403,2022-08-09,Printing,Training material duplication
137,23,227,899438,2023-02-03,Printing,Banner production
138,110,42,1314894,2024-10-17,Food,Catering for event
139,206,166,1026240,2020-08-23,Transport,Volunteer transportation
140,174,355,713003,2021-09-16,Printing,Information booklet
141,243,273,734075,2024-03-04,Equipment,AV equipment rental
142,156,132,1016438,2021-11-07,Transport,Equipment delivery
143,32,271,531423,2020-10-04,Supplies,Workshop materials
144,154,32,173136,2024-03-21,Food,Emergency food relief
145,243,214,1709122,2020-06-24,Transport,Volunteer transportation
146,133,223,246790,2024-06-13,Transport,Staff per diem
147,62,326,250958,2020-04-16,Equipment,Laboratory equipment
148,150,146,397112,2022-05-06,Printing,Educational materials
149,85,7,1975244,2023-01-05,Equipment,Office furniture
150,209,162,415219,2021-03-06,Transport,Transportation for outreach
151,26,233,591131,2021-10-08,Transport,Transportation for outreach
152,97,393,1152781,2023-03-10,Supplies,Registration materials
153,61,53,1550532,2020-10-15,Food,Refreshments for workshop
154,126,94,136289,2020-12-13,Transport,Transportation for outreach
155,43,24,845060,2020-11-23,Food,Event dinner costs
156,78,291,252826,2021-09-07,Food,Training session catering
157,80,373,23306,2021-07-24,Supplies,Event supplies
158,78,250,1246793,2023-08-18,Transport,Volunteer transportation
159,173,365,1632188,2020-11-13,Printing,Newsletter printing
160,99,221,1050425,2020-09-10,Equipment,Medical equipment
161,66,188,1771211,2024-10-24,Equipment,Medical equipment
162,26,172,830248,2020-03-19,Transport,Staff travel expenses
163,121,338,1402999,2023-09-01,Supplies,Educational supplies
164,47,133,633993,2024-04-07,Food,Refreshments for workshop
165,149,96,568709,2023-08-09,Equipment,Tools and machinery
166,139,279,1672447,2020-03-26,Food,Event dinner costs
167,194,42,1916378,2022-07-08,Supplies,Office supplies
168,295,70,1676434,2021-12-07,Transport,Field visit transportation
169,168,156,714737,2021-10-23,Printing,Certificate printing
170,246,9,1175482,2021-05-21,Printing,Certificate printing
171,133,382,12194,2022-02-04,Transport,Vehicle maintenance
172,220,263,1591024,2022-06-15,Printing,Banner production
173,88,155,826101,2024-08-13,Transport,Vehicle fuel costs
174,170,270,55935,2020-04-14,Supplies,Medical supplies
175,153,50,1017889,2022-12-01,Food,Meeting refreshments
176,63,147,1343056,2021-10-26,Transport,Vehicle fuel costs
177,16,169,1571810,2022-12-08,Food,Emergency food relief
178,100,257,806142,2020-02-10,Food,Refreshments for workshop
179,298,341,773174,2024-07-17,Printing,Awareness campaign materials
180,103,308,1380902,2021-04-23,Supplies,Program supplies
181,276,312,952240,2024-07-06,Printing,Certificate printing
182,112,35,900677,2022-11-01,Equipment,Medical equipment
183,129,195,676912,2021-11-06,Equipment,AV equipment rental
184,219,317,1748878,2024-08-12,Supplies,Registration materials
185,168,288,33557,2021-05-20,Printing,Information booklet
186,120,294,713884,2022-09-26,Equipment,Tools and machinery
187,264,71,1696199,2023-09-26,Printing,Report printing
188,38,214,20510,2020-04-24,Printing,Brochure printing
189,150,118,522972,2023-03-05,Food,Refreshments for workshop
190,35,198,691106,2024-10-26,Supplies,Event supplies
191,61,11,1273193,2022-01-17,Printing,Certificate printing
192,95,167,139139,2020-08-07,Supplies,Medical supplies
193,251,223,570300,2020-03-19,Printing,Educational materials
194,119,265,1417033,2024-03-17,Supplies,Program supplies
195,33,145,1977974,2023-02-26,Supplies,Office supplies
196,267,49,1246409,2020-08-24,Equipment,Medical equipment
197,59,46,1470017,2022-03-28,Supplies,Program supplies
